Category,Component,Status,Priority,Estimated Hours,Tech Stack,Description
Mobile App Architecture,SearchModule,NOT_STARTED,HIGH,16,"Android WebView, Kotlin/Java",WebView or custom search bar
Mobile App Architecture,CommandSender,NOT_STARTED,HIGH,20,"OkHttp, WebSocket, Kotlin/Java",WebSocket client (OkHttp)
Mobile App Architecture,PairingModule (Mobile),NOT_STARTED,MEDIUM,24,"ML Kit QR Code Scanner, Camera API, Jetpack Compose",QR scanner + PIN entry
Mobile App Architecture,HistoryModule,NOT_STARTED,MEDIUM,12,"Room Database, SharedPreferences",Stores sent URLs/videos
Mobile App Architecture,Mobile UI,NOT_STARTED,HIGH,32,"Jetpack Compose, Material Design 3",Jetpack Compose for responsive layout
TV App Architecture,WebSocketServer,NOT_STARTED,HIGH,20,"Java-WebSocket, Kotlin/Java",Listens for commands (Java-WebSocket)
TV App Architecture,CommandHandler,NOT_STARTED,HIGH,24,"JSON parsing, Kotlin/Java",Parses and executes JSON actions
TV App Architecture,WebViewModule (TV),NOT_STARTED,HIGH,12,Android WebView,Opens URLs in browser
TV App Architecture,VideoPlayerModule,NOT_STARTED,HIGH,28,"ExoPlayer, Media3",Plays videos via ExoPlayer
TV App Architecture,PairingModule (TV),NOT_STARTED,MEDIUM,20,"QR Code generation, Jetpack Compose for TV",Shows QR code + PIN
TV App Architecture,TV UI,NOT_STARTED,HIGH,36,"Jetpack Compose for TV, D-pad navigation",Jetpack Compose for TV-friendly layout
Communication Layer,WebSocket Protocol,NOT_STARTED,CRITICAL,8,"WebSocket Protocol, JSON","Persistent, low-latency communication"
